127.0.0.1 - - [21/Jan/2026:13:51:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:46:12 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:46:44 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:47:38 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:50:47 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:51:53 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:52:33 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:52:51 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:53:17 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:53:36 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:53:36 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:53:52 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:54:17 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:54:28 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1487
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:54:51 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:55:31 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:58:55 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:58:58 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:01:56 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:14 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:16 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:16 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:16 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:17 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:26 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:47 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:47 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:48 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:56 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:04:56 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:05:25 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:05:43 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:06:26 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:06:41 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:08:14 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:08:41 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:09:46 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:10:26 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:10:26 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:10:26 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:10:26 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:11:07 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:13:07 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:20:41 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:22:15 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:22:30 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:22:41 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:23:19 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:24:03 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:24:30 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:25:05 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:25:36 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1692
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:25:54 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:27:22 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:30:13 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1993
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:30:41 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:30:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:31:15 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:31:51 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:31:55 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:33:46 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:52:48 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:55:13 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:55:19 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:55:45 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:56:13 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:56:16 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:56:16 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:56:21 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:57:17 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2382
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:57:50 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2382
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:06:52 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:08:39 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:09:02 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:12:54 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:14:14 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:14:50 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:16:57 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:17:57 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:20:15 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:20:18 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:22:25 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:25:20 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:25:38 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2785
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:27:00 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2785
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:33:48 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:35:38 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:35:49 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2870
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:36:05 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2875
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:36:15 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:36:59 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:37:55 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:38:03 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:38:23 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:38:23 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:38:32 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [21/Jan/2026:17:38:55 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 2786
